Run,Total Distance,Finished,Times Charged,Battery Threshold,Num Stations
1,3870,True,16,0.4,20.0
2,3861,True,17,0.4,20.0
3,3850,True,16,0.4,20.0
4,3699,True,16,0.4,20.0
5,4514,True,19,0.4,20.0
6,3953,True,17,0.4,20.0
7,3981,True,18,0.4,20.0
8,3790,True,16,0.4,20.0
9,4170,True,18,0.4,20.0
10,3966,True,17,0.4,20.0
11,1175,False,5,0.4,20.0
12,3724,True,16,0.4,20.0
13,3823,True,19,0.4,20.0
14,3575,True,15,0.4,20.0
15,4074,True,17,0.4,20.0
16,3613,True,17,0.4,20.0
17,3511,True,15,0.4,20.0
18,3183,True,14,0.4,20.0
19,1833,False,6,0.4,20.0
20,4089,True,16,0.4,20.0
21,3701,True,18,0.4,20.0
22,3852,True,17,0.4,20.0
23,3014,True,13,0.4,20.0
24,3628,True,16,0.4,20.0
25,3785,True,17,0.4,20.0
26,3267,True,16,0.4,20.0
27,3782,True,17,0.4,20.0
28,3918,True,17,0.4,20.0
29,3728,True,17,0.4,20.0
30,3707,True,17,0.4,20.0
31,4248,True,18,0.4,20.0
32,4143,True,18,0.4,20.0
33,4383,True,18,0.4,20.0
34,1808,False,7,0.4,20.0
35,3839,True,17,0.4,20.0
36,4200,True,18,0.4,20.0
37,4177,True,18,0.4,20.0
38,3270,True,14,0.4,20.0
39,3989,True,18,0.4,20.0
40,3804,True,16,0.4,20.0
41,3676,True,18,0.4,20.0
42,3602,True,16,0.4,20.0
43,4369,True,18,0.4,20.0
44,4466,True,19,0.4,20.0
45,3856,True,17,0.4,20.0
46,4212,True,19,0.4,20.0
47,3391,True,15,0.4,20.0
48,3915,True,17,0.4,20.0
49,4112,True,18,0.4,20.0
50,3416,True,17,0.4,20.0
51,3584,True,17,0.4,20.0
52,3177,True,17,0.4,20.0
53,3545,True,16,0.4,20.0
54,3434,True,15,0.4,20.0
55,3554,True,15,0.4,20.0
56,3797,True,18,0.4,20.0
57,4266,True,19,0.4,20.0
58,3853,True,18,0.4,20.0
59,3135,True,15,0.4,20.0
60,4163,True,18,0.4,20.0
61,3816,True,16,0.4,20.0
62,4243,True,18,0.4,20.0
63,3803,True,19,0.4,20.0
64,3332,True,14,0.4,20.0
65,1908,False,8,0.4,20.0
66,4150,True,18,0.4,20.0
67,4223,True,19,0.4,20.0
68,3835,True,17,0.4,20.0
69,3837,True,18,0.4,20.0
70,4345,True,19,0.4,20.0
71,3642,True,16,0.4,20.0
72,3142,True,15,0.4,20.0
73,1433,False,5,0.4,20.0
74,4074,True,17,0.4,20.0
75,4398,True,17,0.4,20.0
76,3897,True,18,0.4,20.0
77,3716,True,15,0.4,20.0
78,3557,True,15,0.4,20.0
79,3939,True,18,0.4,20.0
80,4212,True,18,0.4,20.0
81,3967,True,17,0.4,20.0
82,3292,True,15,0.4,20.0
83,3782,True,17,0.4,20.0
84,2894,False,11,0.4,20.0
85,3705,True,17,0.4,20.0
86,4104,True,17,0.4,20.0
87,3938,True,18,0.4,20.0
88,4551,True,18,0.4,20.0
89,4387,True,18,0.4,20.0
90,3802,True,18,0.4,20.0
91,3376,True,14,0.4,20.0
92,3805,True,16,0.4,20.0
93,3653,True,16,0.4,20.0
94,3984,True,17,0.4,20.0
95,3277,False,12,0.4,20.0
96,4127,True,18,0.4,20.0
97,3915,True,18,0.4,20.0
98,3692,True,17,0.4,20.0
99,4263,True,18,0.4,20.0
100,3713,True,17,0.4,20.0
101,3987,True,17,0.4,20.0
102,4227,True,18,0.4,20.0
103,3838,True,16,0.4,20.0
104,3773,True,15,0.4,20.0
105,4055,True,18,0.4,20.0
106,3747,True,19,0.4,20.0
107,3665,True,17,0.4,20.0
108,4280,True,20,0.4,20.0
109,4124,True,18,0.4,20.0
110,4808,True,21,0.4,20.0
111,3847,True,17,0.4,20.0
112,3482,True,16,0.4,20.0
113,3827,True,18,0.4,20.0
114,3757,True,17,0.4,20.0
115,4012,True,18,0.4,20.0
116,4005,True,17,0.4,20.0
117,3835,True,16,0.4,20.0
118,758,False,2,0.4,20.0
119,3219,True,14,0.4,20.0
120,3978,True,17,0.4,20.0
121,4011,True,17,0.4,20.0
122,3599,True,16,0.4,20.0
123,4207,True,20,0.4,20.0
124,3874,True,17,0.4,20.0
125,3859,True,17,0.4,20.0
126,4011,True,20,0.4,20.0
127,3557,True,15,0.4,20.0
128,4136,True,18,0.4,20.0
129,3567,True,17,0.4,20.0
130,3524,True,15,0.4,20.0
131,4296,True,18,0.4,20.0
132,3441,True,14,0.4,20.0
133,4239,True,20,0.4,20.0
134,3937,True,17,0.4,20.0
135,314,False,0,0.4,20.0
136,3407,True,15,0.4,20.0
137,3850,True,17,0.4,20.0
138,4193,True,18,0.4,20.0
139,3597,True,15,0.4,20.0
140,2897,False,12,0.4,20.0
141,4539,True,18,0.4,20.0
142,3148,True,15,0.4,20.0
143,3650,True,17,0.4,20.0
144,4448,True,19,0.4,20.0
145,4359,True,19,0.4,20.0
146,3501,False,14,0.4,20.0
147,3880,True,16,0.4,20.0
148,3308,True,14,0.4,20.0
149,3698,True,17,0.4,20.0
150,3463,True,16,0.4,20.0
151,3879,True,19,0.4,20.0
152,3863,True,17,0.4,20.0
153,3867,True,17,0.4,20.0
154,3736,True,16,0.4,20.0
155,3379,True,16,0.4,20.0
156,4070,True,18,0.4,20.0
157,3833,True,17,0.4,20.0
158,3597,True,15,0.4,20.0
159,4006,True,17,0.4,20.0
160,3879,True,18,0.4,20.0
161,3704,True,16,0.4,20.0
162,3204,False,12,0.4,20.0
163,3142,True,14,0.4,20.0
164,4174,True,17,0.4,20.0
165,3889,True,18,0.4,20.0
166,706,False,2,0.4,20.0
167,3870,True,16,0.4,20.0
168,3713,True,16,0.4,20.0
169,4201,True,18,0.4,20.0
170,3862,True,17,0.4,20.0
171,3795,True,16,0.4,20.0
172,3680,True,17,0.4,20.0
173,4481,True,19,0.4,20.0
174,4312,True,18,0.4,20.0
175,3784,True,18,0.4,20.0
176,571,False,2,0.4,20.0
177,300,False,0,0.4,20.0
178,4586,True,20,0.4,20.0
179,3220,True,15,0.4,20.0
180,3346,True,14,0.4,20.0
181,3830,True,17,0.4,20.0
182,1571,False,7,0.4,20.0
183,3816,True,17,0.4,20.0
184,3576,True,16,0.4,20.0
185,3803,True,17,0.4,20.0
186,3995,True,18,0.4,20.0
187,3923,True,16,0.4,20.0
188,3380,True,16,0.4,20.0
189,3888,True,17,0.4,20.0
190,4247,True,18,0.4,20.0
191,4117,True,18,0.4,20.0
192,3275,True,14,0.4,20.0
193,3895,True,16,0.4,20.0
194,3392,True,16,0.4,20.0
195,3883,True,17,0.4,20.0
196,3519,True,16,0.4,20.0
197,3255,True,14,0.4,20.0
198,1570,False,7,0.4,20.0
199,4301,True,20,0.4,20.0
200,318,False,0,0.4,20.0
1,3488,True,14,0.4,20.0
2,4368,True,18,0.4,20.0
3,3119,True,14,0.4,20.0
4,1776,False,8,0.4,20.0
5,3869,True,16,0.4,20.0
6,3995,True,18,0.4,20.0
7,3975,True,16,0.4,20.0
8,3358,True,15,0.4,20.0
9,3509,True,16,0.4,20.0
10,3462,True,15,0.4,20.0
11,4077,True,16,0.4,20.0
12,3800,True,16,0.4,20.0
